universe_id,stock_code,company_name,board,industry,market_cap_hkd,pb_ratio,listing_status,initial_inclusion_reason,source_id,data_date
UNI-00036,00040.HK,金山科技工业,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00037,00041.HK,鹰君,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00038,00042.HK,东北电气,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00039,00045.HK,大酒店,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00040,00046.HK,科联系统,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00041,00048.HK,中国汽车内饰,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00042,00050.HK,香港小轮（集团）,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00043,00051.HK,海港企业,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00044,00052.HK,大快活集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00045,00053.HK,国浩集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00046,00055.HK,中星集团控股,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00047,00057.HK,震雄集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00048,00058.HK,新威国际,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00049,00059.HK,天誉置业,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00050,00060.HK,香港食品投资,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00051,00061.HK,绿领控股,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00052,00062.HK,载通,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00053,00063.HK,中亚烯谷集团,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00054,00064.HK,结好控股,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00055,00065.HK,弘海高新资源,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
UNI-00056,00066.HK,港铁公司,unknown,,,,unknown,Included in generator universe before certified hard filters.,AKSHARE_HK_SNAPSHOT_CACHE,2026-06-02
